Case_Number,Offense_Code,Offense_Type,Arrest,Location,Officer_id,Officer_Name,Date
SF777321,1,Larceny,Yes,San Francisco,291,Roy Romero,2000
NY391572,2,Vandalism,Yes,New York,628,Valerie Eskew,2000
BO131256,5,Assault,Yes,Boston,414,Ronald Bryant,2000
BO462388,5,Assault,Yes,Boston,117,Alyssa Haycraft,2002
CH367257,3,Homicide,Yes,Chicago,298,Barry Goetz,2000
NY191016,4,Drug abuse,No,New York,105,Mitzi Fowler,2001
NY485593,2,Vandalism,No,New York,255,Rogelio Fett,2000
CH510793,3,Homicide,Yes,Chicago,646,John Ledue,2000
BO517459,1,Larceny,No,Boston,827,Timothy Iverson,2003
NY251138,2,Vandalism,No,New York,105,Mitzi Fowler,2004
SF142238,4,Drug abuse,Yes,San Francisco,140,Charles Ortega,2002
NY621085,4,Drug abuse,No,New York,105,Mitzi Fowler,2003
SF493353,1,Larceny,No,San Francisco,891,Edward Denton,2003
BO728111,5,Assault,No,Boston,117,Alyssa Haycraft,2001
CH137607,3,Homicide,No,Chicago,169,Georgia Jones,2001
CH969011,4,Drug abuse,Yes,Chicago,298,Barry Goetz,2001
SF491763,5,Assault,No,San Francisco,140,Charles Ortega,2003
BO882761,5,Assault,Yes,Boston,414,Ronald Bryant,2002
SF214289,3,Homicide,No,San Francisco,891,Edward Denton,2003
NY452911,4,Drug abuse,Yes,New York,982,Beatrice Frappier,2000
BO655187,2,Vandalism,Yes,Boston,264,Tamica Striegel,2004
NY205580,2,Vandalism,Yes,New York,982,Beatrice Frappier,2004
BO393045,5,Assault,Yes,Boston,414,Ronald Bryant,2002
BO948442,3,Homicide,No,Boston,799,Jennie Hampton,2002
CH481384,1,Larceny,Yes,Chicago,739,Donald Olsen,2004
CH643709,5,Assault,Yes,Chicago,169,Georgia Jones,2004
CH537290,3,Homicide,No,Chicago,443,Mildred Shuey,2000
BO588405,1,Larceny,No,Boston,414,Ronald Bryant,2000
BO996054,1,Larceny,Yes,Boston,287,Kathy Fry,2004
SF788898,4,Drug abuse,Yes,San Francisco,216,Charles Pitts,2004
SF795232,3,Homicide,Yes,San Francisco,848,Joseph Costello,2001
NY150860,2,Vandalism,Yes,New York,597,Nancy Smith,2003
NY883213,5,Assault,Yes,New York,648,Julian Gibson,2003
SF665085,2,Vandalism,Yes,San Francisco,891,Edward Denton,2000
BO501805,2,Vandalism,Yes,Boston,117,Alyssa Haycraft,2004
SF273093,1,Larceny,Yes,San Francisco,130,David Graham,2004
CH102232,1,Larceny,Yes,Chicago,298,Barry Goetz,2002
SF854395,5,Assault,Yes,San Francisco,216,Charles Pitts,2003
SF122406,2,Vandalism,Yes,San Francisco,167,Adele Peters,2002
SF143357,2,Vandalism,No,San Francisco,130,David Graham,2004
CH271146,2,Vandalism,No,Chicago,515,Beverly Taylor,2003
NY609001,2,Vandalism,No,New York,982,Beatrice Frappier,2003
NY345068,2,Vandalism,Yes,New York,597,Nancy Smith,2003
BO408125,5,Assault,No,Boston,264,Tamica Striegel,2002
BO356374,3,Homicide,Yes,Boston,117,Alyssa Haycraft,2002
BO812787,1,Larceny,Yes,Boston,287,Kathy Fry,2004
NY488144,2,Vandalism,No,New York,641,Gregory Kocher,2001
BO206512,5,Assault,No,Boston,117,Alyssa Haycraft,2003
BO887074,3,Homicide,No,Boston,414,Ronald Bryant,2000
CH292085,1,Larceny,No,Chicago,646,John Ledue,2004
CH321581,2,Vandalism,No,Chicago,783,Peter Palmieri,2003
NY109946,4,Drug abuse,Yes,New York,982,Beatrice Frappier,2000
SF826402,1,Larceny,No,San Francisco,140,Charles Ortega,2001
CH427101,2,Vandalism,No,Chicago,783,Peter Palmieri,2004
CH358495,5,Assault,Yes,Chicago,739,Donald Olsen,2001
SF958010,1,Larceny,No,San Francisco,291,Roy Romero,2003
SF907053,2,Vandalism,No,San Francisco,291,Roy Romero,2001
SF825530,2,Vandalism,Yes,San Francisco,891,Edward Denton,2004
NY168131,4,Drug abuse,No,New York,641,Gregory Kocher,2003
NY919040,3,Homicide,No,New York,641,Gregory Kocher,2003
BO510338,2,Vandalism,Yes,Boston,287,Kathy Fry,2000
BO793778,2,Vandalism,Yes,Boston,287,Kathy Fry,2002
CH451547,1,Larceny,No,Chicago,646,John Ledue,2002
CH929730,3,Homicide,No,Chicago,169,Georgia Jones,2000
BO627507,3,Homicide,Yes,Boston,827,Timothy Iverson,2004
NY551192,1,Larceny,No,New York,597,Nancy Smith,2003
NY685349,2,Vandalism,Yes,New York,648,Julian Gibson,2001
BO186654,3,Homicide,Yes,Boston,264,Tamica Striegel,2002
BO350810,3,Homicide,Yes,Boston,820,Steven Hardeman,2003
BO400363,3,Homicide,No,Boston,414,Ronald Bryant,2000
BO110993,5,Assault,Yes,Boston,287,Kathy Fry,2003
BO857872,2,Vandalism,No,Boston,827,Timothy Iverson,2000
BO331294,5,Assault,No,Boston,117,Alyssa Haycraft,2002
SF422222,1,Larceny,No,San Francisco,848,Joseph Costello,2002
BO226654,5,Assault,No,Boston,976,Tyler Stringer,2004
CH955699,5,Assault,No,Chicago,169,Georgia Jones,2003
BO874604,5,Assault,No,Boston,827,Timothy Iverson,2000
CH785029,5,Assault,No,Chicago,298,Barry Goetz,2001
CH193386,2,Vandalism,Yes,Chicago,783,Peter Palmieri,2004
NY229473,4,Drug abuse,Yes,New York,105,Mitzi Fowler,2004
NY224429,3,Homicide,No,New York,313,Kenneth Nance,2001
CH527894,3,Homicide,No,Chicago,646,John Ledue,2000
SF521408,4,Drug abuse,Yes,San Francisco,216,Charles Pitts,2003
BO132596,5,Assault,Yes,Boston,976,Tyler Stringer,2002
BO883263,3,Homicide,Yes,Boston,976,Tyler Stringer,2002
NY251138,1,Larceny,No,New York,628,Valerie Eskew,2000
BO434637,1,Larceny,Yes,Boston,827,Timothy Iverson,2002
SF405180,1,Larceny,No,San Francisco,848,Joseph Costello,2003
CH982881,1,Larceny,Yes,Chicago,298,Barry Goetz,2002
CH801081,1,Larceny,Yes,Chicago,639,Joshua Compton,2000
CH500677,3,Homicide,Yes,Chicago,639,Joshua Compton,2003
CH688668,4,Drug abuse,Yes,Chicago,443,Mildred Shuey,2004
NY306285,2,Vandalism,Yes,New York,313,Kenneth Nance,2001
CH740359,1,Larceny,Yes,Chicago,515,Beverly Taylor,2004
CH389634,4,Drug abuse,No,Chicago,515,Beverly Taylor,2001
CH604941,3,Homicide,Yes,Chicago,515,Beverly Taylor,2001
NY657182,5,Assault,Yes,New York,105,Mitzi Fowler,2001
NY902579,2,Vandalism,Yes,New York,628,Valerie Eskew,2002
CH420153,5,Assault,No,Chicago,515,Beverly Taylor,2000
NY722887,4,Drug abuse,No,New York,982,Beatrice Frappier,2002
CH193744,3,Homicide,Yes,Chicago,515,Beverly Taylor,2004
NY322106,2,Vandalism,Yes,New York,105,Mitzi Fowler,2003
CH151280,2,Vandalism,No,Chicago,639,Joshua Compton,2003
BO706402,1,Larceny,No,Boston,287,Kathy Fry,2000
NY527745,2,Vandalism,No,New York,648,Julian Gibson,2000
SF809493,1,Larceny,No,San Francisco,167,Adele Peters,2003
SF366193,3,Homicide,Yes,San Francisco,216,Charles Pitts,2001
BO248257,2,Vandalism,No,Boston,799,Jennie Hampton,2002
NY643842,2,Vandalism,Yes,New York,648,Julian Gibson,2004
NY825157,1,Larceny,No,New York,982,Beatrice Frappier,2004
CH893697,1,Larceny,Yes,Chicago,169,Georgia Jones,2004
BO866927,1,Larceny,No,Boston,264,Tamica Striegel,2004
CH998304,1,Larceny,No,Chicago,515,Beverly Taylor,2002
BO426184,3,Homicide,No,Boston,799,Jennie Hampton,2000
CH125962,1,Larceny,No,Chicago,169,Georgia Jones,2004
CH909827,2,Vandalism,Yes,Chicago,443,Mildred Shuey,2002
NY363307,2,Vandalism,Yes,New York,628,Valerie Eskew,2004
BO466643,3,Homicide,No,Boston,820,Steven Hardeman,2003
BO942866,3,Homicide,Yes,Boston,827,Timothy Iverson,2000
CH625315,2,Vandalism,No,Chicago,169,Georgia Jones,2003
NY880847,4,Drug abuse,Yes,New York,313,Kenneth Nance,2001
BO812288,1,Larceny,Yes,Boston,827,Timothy Iverson,2001
SF742507,2,Vandalism,No,San Francisco,291,Roy Romero,2003
SF461730,1,Larceny,No,San Francisco,291,Roy Romero,2002
CH771860,3,Homicide,Yes,Chicago,515,Beverly Taylor,2003
NY464742,2,Vandalism,Yes,New York,648,Julian Gibson,2000
SF883862,1,Larceny,No,San Francisco,130,David Graham,2003
CH210174,5,Assault,Yes,Chicago,646,John Ledue,2003
CH293810,3,Homicide,No,Chicago,646,John Ledue,2004
CH574545,2,Vandalism,Yes,Chicago,739,Donald Olsen,2000
NY338368,4,Drug abuse,No,New York,982,Beatrice Frappier,2002
BO703684,4,Drug abuse,No,Boston,976,Tyler Stringer,2003
BO939834,5,Assault,No,Boston,799,Jennie Hampton,2004
SF482852,5,Assault,No,San Francisco,447,Sherell Reine,2002
BO596509,1,Larceny,No,Boston,414,Ronald Bryant,2003
CH688668,2,Vandalism,No,Chicago,783,Peter Palmieri,2002
BO143700,5,Assault,Yes,Boston,827,Timothy Iverson,2004
BO662484,2,Vandalism,No,Boston,820,Steven Hardeman,2003
NY594797,1,Larceny,No,New York,597,Nancy Smith,2003
BO459925,2,Vandalism,Yes,Boston,117,Alyssa Haycraft,2004
SF482697,2,Vandalism,No,San Francisco,167,Adele Peters,2004
NY667998,5,Assault,Yes,New York,648,Julian Gibson,2000
SF147368,4,Drug abuse,Yes,San Francisco,891,Edward Denton,2000
SF359787,5,Assault,No,San Francisco,216,Charles Pitts,2000
BO285135,5,Assault,No,Boston,820,Steven Hardeman,2004
SF744879,4,Drug abuse,Yes,San Francisco,140,Charles Ortega,2004
CH133392,3,Homicide,Yes,Chicago,169,Georgia Jones,2000
BO793571,3,Homicide,Yes,Boston,117,Alyssa Haycraft,2000
BO917185,2,Vandalism,Yes,Boston,287,Kathy Fry,2004
BO258163,1,Larceny,No,Boston,287,Kathy Fry,2001
SF366193,2,Vandalism,No,San Francisco,140,Charles Ortega,2002
BO722971,1,Larceny,No,Boston,820,Steven Hardeman,2004
BO390668,2,Vandalism,Yes,Boston,799,Jennie Hampton,2000
SF649915,1,Larceny,No,San Francisco,291,Roy Romero,2003
BO720122,1,Larceny,Yes,Boston,287,Kathy Fry,2004
SF529527,1,Larceny,Yes,San Francisco,291,Roy Romero,2001
SF854457,2,Vandalism,Yes,San Francisco,140,Charles Ortega,2004
CH486807,4,Drug abuse,Yes,Chicago,639,Joshua Compton,2004
SF372555,1,Larceny,No,San Francisco,167,Adele Peters,2003
BO898378,5,Assault,Yes,Boston,264,Tamica Striegel,2002
CH811432,2,Vandalism,Yes,Chicago,739,Donald Olsen,2003
SF804443,1,Larceny,No,San Francisco,891,Edward Denton,2001
NY417760,2,Vandalism,Yes,New York,313,Kenneth Nance,2000
SF607091,1,Larceny,Yes,San Francisco,130,David Graham,2000
SF548886,2,Vandalism,Yes,San Francisco,140,Charles Ortega,2004
NY582956,2,Vandalism,Yes,New York,982,Beatrice Frappier,2000
CH874684,1,Larceny,Yes,Chicago,443,Mildred Shuey,2003
CH991511,5,Assault,Yes,Chicago,639,Joshua Compton,2002
CH124970,2,Vandalism,No,Chicago,646,John Ledue,2002
BO970987,1,Larceny,No,Boston,264,Tamica Striegel,2004
NY429013,2,Vandalism,Yes,New York,255,Rogelio Fett,2004
CH748061,2,Vandalism,No,Chicago,298,Barry Goetz,2000
SF676364,1,Larceny,No,San Francisco,848,Joseph Costello,2000
CH271774,4,Drug abuse,Yes,Chicago,646,John Ledue,2004
NY516345,5,Assault,No,New York,313,Kenneth Nance,2002
BO389419,1,Larceny,No,Boston,287,Kathy Fry,2000
SF170989,2,Vandalism,Yes,San Francisco,447,Sherell Reine,2002
SF307416,2,Vandalism,Yes,San Francisco,167,Adele Peters,2000
SF633200,1,Larceny,No,San Francisco,848,Joseph Costello,2003
BO573163,3,Homicide,No,Boston,820,Steven Hardeman,2004
BO741078,1,Larceny,Yes,Boston,287,Kathy Fry,2000
SF238790,1,Larceny,No,San Francisco,891,Edward Denton,2004
NY528751,4,Drug abuse,No,New York,105,Mitzi Fowler,2001
BO361192,1,Larceny,Yes,Boston,820,Steven Hardeman,2001
CH898041,3,Homicide,Yes,Chicago,739,Donald Olsen,2002
CH880632,1,Larceny,No,Chicago,783,Peter Palmieri,2002
SF193085,3,Homicide,Yes,San Francisco,140,Charles Ortega,2000
SF950779,1,Larceny,Yes,San Francisco,140,Charles Ortega,2002
BO807632,2,Vandalism,No,Boston,799,Jennie Hampton,2003
BO523372,5,Assault,Yes,Boston,287,Kathy Fry,2004
BO323080,3,Homicide,No,Boston,414,Ronald Bryant,2003
CH423886,5,Assault,No,Chicago,443,Mildred Shuey,2003
CH993253,1,Larceny,No,Chicago,515,Beverly Taylor,2002
CH692486,2,Vandalism,No,Chicago,443,Mildred Shuey,2000
CH993598,5,Assault,No,Chicago,739,Donald Olsen,2003
CH101533,1,Larceny,Yes,Chicago,515,Beverly Taylor,2002
NY344592,2,Vandalism,Yes,New York,641,Gregory Kocher,2004
NY109946,4,Drug abuse,No,New York,648,Julian Gibson,2003
SF769740,2,Vandalism,No,San Francisco,291,Roy Romero,2003
SF893422,3,Homicide,No,San Francisco,216,Charles Pitts,2001
BO481606,1,Larceny,Yes,Boston,117,Alyssa Haycraft,2000
SF143357,3,Homicide,Yes,San Francisco,140,Charles Ortega,2003
BO438304,2,Vandalism,Yes,Boston,799,Jennie Hampton,2001
SF457643,2,Vandalism,Yes,San Francisco,447,Sherell Reine,2004
BO796146,1,Larceny,Yes,Boston,287,Kathy Fry,2000
CH482578,1,Larceny,No,Chicago,443,Mildred Shuey,2000
BO948442,1,Larceny,No,Boston,117,Alyssa Haycraft,2003
BO402871,1,Larceny,No,Boston,976,Tyler Stringer,2001
SF788381,3,Homicide,No,San Francisco,140,Charles Ortega,2000
NY233249,2,Vandalism,No,New York,648,Julian Gibson,2000
NY102921,4,Drug abuse,No,New York,105,Mitzi Fowler,2000
NY643219,4,Drug abuse,No,New York,105,Mitzi Fowler,2000
CH533961,4,Drug abuse,No,Chicago,515,Beverly Taylor,2004
SF613174,2,Vandalism,No,San Francisco,130,David Graham,2002
BO371660,5,Assault,Yes,Boston,820,Steven Hardeman,2001
NY749787,2,Vandalism,No,New York,105,Mitzi Fowler,2004
NY592655,2,Vandalism,No,New York,255,Rogelio Fett,2000
NY339339,2,Vandalism,Yes,New York,648,Julian Gibson,2002
CH759633,5,Assault,No,Chicago,739,Donald Olsen,2004
BO263795,2,Vandalism,Yes,Boston,827,Timothy Iverson,2004
CH816469,1,Larceny,No,Chicago,739,Donald Olsen,2002
NY173607,4,Drug abuse,Yes,New York,648,Julian Gibson,2002
SF923601,1,Larceny,No,San Francisco,848,Joseph Costello,2001
BO524263,2,Vandalism,Yes,Boston,799,Jennie Hampton,2001
BO399570,2,Vandalism,No,Boston,264,Tamica Striegel,2002
SF697614,1,Larceny,No,San Francisco,130,David Graham,2000
CH349662,3,Homicide,No,Chicago,739,Donald Olsen,2003
NY658102,1,Larceny,No,New York,597,Nancy Smith,2000
SF276551,2,Vandalism,No,San Francisco,291,Roy Romero,2004
BO826122,4,Drug abuse,Yes,Boston,264,Tamica Striegel,2004
CH784736,5,Assault,No,Chicago,298,Barry Goetz,2001
SF510385,1,Larceny,No,San Francisco,140,Charles Ortega,2003
BO631168,1,Larceny,No,Boston,117,Alyssa Haycraft,2003
SF468607,4,Drug abuse,No,San Francisco,140,Charles Ortega,2001
SF316503,1,Larceny,Yes,San Francisco,291,Roy Romero,2002
NY176623,2,Vandalism,Yes,New York,628,Valerie Eskew,2003
SF288808,1,Larceny,No,San Francisco,140,Charles Ortega,2004
BO909932,1,Larceny,Yes,Boston,976,Tyler Stringer,2004
BO171872,1,Larceny,Yes,Boston,414,Ronald Bryant,2003
CH765843,2,Vandalism,No,Chicago,646,John Ledue,2004
NY306695,1,Larceny,Yes,New York,313,Kenneth Nance,2002
CH771638,1,Larceny,Yes,Chicago,646,John Ledue,2001
CH972307,3,Homicide,Yes,Chicago,739,Donald Olsen,2003
BO870727,2,Vandalism,Yes,Boston,414,Ronald Bryant,2004
NY526864,2,Vandalism,Yes,New York,255,Rogelio Fett,2000
BO676482,1,Larceny,No,Boston,264,Tamica Striegel,2002
SF269511,5,Assault,Yes,San Francisco,891,Edward Denton,2000
NY621085,5,Assault,No,New York,313,Kenneth Nance,2002
NY860683,2,Vandalism,Yes,New York,628,Valerie Eskew,2003
CH582974,2,Vandalism,Yes,Chicago,298,Barry Goetz,2003
NY509546,2,Vandalism,Yes,New York,648,Julian Gibson,2003
CH115901,2,Vandalism,No,Chicago,639,Joshua Compton,2003
BO815592,3,Homicide,Yes,Boston,820,Steven Hardeman,2003
CH297224,2,Vandalism,Yes,Chicago,783,Peter Palmieri,2001
CH796534,2,Vandalism,No,Chicago,443,Mildred Shuey,2001
NY564651,1,Larceny,Yes,New York,982,Beatrice Frappier,2001
SF913982,4,Drug abuse,Yes,San Francisco,167,Adele Peters,2003
CH467696,2,Vandalism,Yes,Chicago,298,Barry Goetz,2002
SF719479,1,Larceny,Yes,San Francisco,167,Adele Peters,2000
BO380072,1,Larceny,Yes,Boston,287,Kathy Fry,2004
CH145825,3,Homicide,No,Chicago,443,Mildred Shuey,2000
CH839650,1,Larceny,No,Chicago,739,Donald Olsen,2004
SF891761,4,Drug abuse,No,San Francisco,130,David Graham,2003
BO493598,3,Homicide,Yes,Boston,287,Kathy Fry,2002
NY139017,2,Vandalism,Yes,New York,628,Valerie Eskew,2000
CH153444,1,Larceny,Yes,Chicago,783,Peter Palmieri,2002
CH469432,1,Larceny,Yes,Chicago,515,Beverly Taylor,2003
BO519109,2,Vandalism,Yes,Boston,287,Kathy Fry,2003
NY321668,2,Vandalism,Yes,New York,648,Julian Gibson,2004
CH743795,5,Assault,Yes,Chicago,739,Donald Olsen,2003
SF560305,4,Drug abuse,No,San Francisco,291,Roy Romero,2002
SF887788,1,Larceny,No,San Francisco,216,Charles Pitts,2000
CH625780,2,Vandalism,No,Chicago,783,Peter Palmieri,2002
SF854457,4,Drug abuse,Yes,San Francisco,447,Sherell Reine,2003
NY977534,2,Vandalism,No,New York,982,Beatrice Frappier,2004
NY893388,1,Larceny,Yes,New York,648,Julian Gibson,2002
SF438748,4,Drug abuse,No,San Francisco,130,David Graham,2003
BO681275,5,Assault,Yes,Boston,287,Kathy Fry,2000
BO368478,2,Vandalism,Yes,Boston,976,Tyler Stringer,2002
BO380225,5,Assault,No,Boston,264,Tamica Striegel,2003
SF839785,3,Homicide,Yes,San Francisco,167,Adele Peters,2004
BO676482,2,Vandalism,Yes,Boston,264,Tamica Striegel,2001
CH280334,2,Vandalism,Yes,Chicago,639,Joshua Compton,2001
CH383543,2,Vandalism,No,Chicago,515,Beverly Taylor,2004
NY219975,2,Vandalism,Yes,New York,255,Rogelio Fett,2002
NY321668,1,Larceny,Yes,New York,982,Beatrice Frappier,2001
SF202347,2,Vandalism,No,San Francisco,216,Charles Pitts,2002
SF657631,1,Larceny,Yes,San Francisco,167,Adele Peters,2000
SF514275,1,Larceny,Yes,San Francisco,891,Edward Denton,2004
SF854395,1,Larceny,Yes,San Francisco,140,Charles Ortega,2000
BO156861,1,Larceny,Yes,Boston,820,Steven Hardeman,2000
SF629395,1,Larceny,No,San Francisco,891,Edward Denton,2001
CH651192,4,Drug abuse,Yes,Chicago,783,Peter Palmieri,2000
SF879517,4,Drug abuse,No,San Francisco,848,Joseph Costello,2001
SF687674,3,Homicide,No,San Francisco,447,Sherell Reine,2002
BO588585,5,Assault,No,Boston,414,Ronald Bryant,2003
CH837100,1,Larceny,Yes,Chicago,169,Georgia Jones,2002
BO401329,5,Assault,Yes,Boston,264,Tamica Striegel,2001
SF187493,1,Larceny,No,San Francisco,891,Edward Denton,2001
BO502230,3,Homicide,No,Boston,287,Kathy Fry,2003
CH993401,5,Assault,No,Chicago,298,Barry Goetz,2002
NY790373,5,Assault,No,New York,105,Mitzi Fowler,2001
CH332744,2,Vandalism,No,Chicago,783,Peter Palmieri,2004
NY364820,4,Drug abuse,No,New York,641,Gregory Kocher,2001
NY171404,2,Vandalism,Yes,New York,641,Gregory Kocher,2004
SF970731,1,Larceny,Yes,San Francisco,216,Charles Pitts,2004
BO552813,1,Larceny,No,Boston,820,Steven Hardeman,2002
NY221579,1,Larceny,No,New York,255,Rogelio Fett,2004
NY127306,1,Larceny,No,New York,313,Kenneth Nance,2001
CH197421,3,Homicide,No,Chicago,443,Mildred Shuey,2003
BO870634,5,Assault,No,Boston,287,Kathy Fry,2003
SF756381,4,Drug abuse,No,San Francisco,848,Joseph Costello,2001
CH112351,5,Assault,No,Chicago,739,Donald Olsen,2002
CH428420,5,Assault,Yes,Chicago,783,Peter Palmieri,2002
BO997175,5,Assault,No,Boston,976,Tyler Stringer,2002
BO580967,2,Vandalism,No,Boston,827,Timothy Iverson,2000
CH783276,4,Drug abuse,No,Chicago,739,Donald Olsen,2001
SF937738,1,Larceny,Yes,San Francisco,848,Joseph Costello,2001
CH101533,1,Larceny,No,Chicago,515,Beverly Taylor,2002
BO789194,2,Vandalism,No,Boston,827,Timothy Iverson,2003
NY585830,4,Drug abuse,Yes,New York,313,Kenneth Nance,2001
SF603726,1,Larceny,No,San Francisco,140,Charles Ortega,2003
BO318592,5,Assault,Yes,Boston,827,Timothy Iverson,2000
SF158038,3,Homicide,No,San Francisco,848,Joseph Costello,2003
BO870727,5,Assault,Yes,Boston,827,Timothy Iverson,2002
CH559120,1,Larceny,Yes,Chicago,783,Peter Palmieri,2001
SF176797,3,Homicide,Yes,San Francisco,130,David Graham,2004
NY485593,1,Larceny,Yes,New York,982,Beatrice Frappier,2004
CH165938,2,Vandalism,Yes,Chicago,783,Peter Palmieri,2000
SF560305,1,Larceny,Yes,San Francisco,891,Edward Denton,2003
SF854457,1,Larceny,No,San Francisco,140,Charles Ortega,2004
NY420424,4,Drug abuse,No,New York,641,Gregory Kocher,2004
CH137607,3,Homicide,Yes,Chicago,298,Barry Goetz,2000
CH798393,2,Vandalism,No,Chicago,443,Mildred Shuey,2002
NY328095,2,Vandalism,No,New York,648,Julian Gibson,2001
CH115901,1,Larceny,Yes,Chicago,169,Georgia Jones,2004
SF407516,1,Larceny,Yes,San Francisco,216,Charles Pitts,2003
BO166052,2,Vandalism,No,Boston,117,Alyssa Haycraft,2003
BO248257,4,Drug abuse,No,Boston,264,Tamica Striegel,2001
NY437317,5,Assault,Yes,New York,313,Kenneth Nance,2004
SF687491,4,Drug abuse,Yes,San Francisco,216,Charles Pitts,2000
CH321809,1,Larceny,Yes,Chicago,639,Joshua Compton,2002
NY350219,3,Homicide,Yes,New York,641,Gregory Kocher,2003
BO932234,2,Vandalism,Yes,Boston,264,Tamica Striegel,2000
NY527745,2,Vandalism,Yes,New York,982,Beatrice Frappier,2003
BO596509,2,Vandalism,Yes,Boston,414,Ronald Bryant,2001
NY695831,4,Drug abuse,No,New York,105,Mitzi Fowler,2003
SF366193,1,Larceny,Yes,San Francisco,447,Sherell Reine,2003
BO646738,3,Homicide,No,Boston,287,Kathy Fry,2003
CH381146,3,Homicide,No,Chicago,515,Beverly Taylor,2004
SF756381,3,Homicide,Yes,San Francisco,891,Edward Denton,2003
BO862540,5,Assault,Yes,Boston,287,Kathy Fry,2003
BO153392,5,Assault,No,Boston,799,Jennie Hampton,2001
CH174374,1,Larceny,Yes,Chicago,739,Donald Olsen,2004
CH513942,4,Drug abuse,No,Chicago,639,Joshua Compton,2001
NY460685,1,Larceny,Yes,New York,597,Nancy Smith,2001
CH559120,5,Assault,Yes,Chicago,646,John Ledue,2002
SF647435,1,Larceny,Yes,San Francisco,447,Sherell Reine,2001
CH332744,3,Homicide,No,Chicago,515,Beverly Taylor,2001
NY662996,2,Vandalism,No,New York,648,Julian Gibson,2004
BO462388,3,Homicide,Yes,Boston,414,Ronald Bryant,2000
NY752487,4,Drug abuse,Yes,New York,648,Julian Gibson,2004
SF888726,1,Larceny,No,San Francisco,447,Sherell Reine,2003
SF884150,4,Drug abuse,Yes,San Francisco,848,Joseph Costello,2004
